安倍 晋三,10月10日 ( 火 ),踊る子馬亭向かい広場 （ 福島市佐原 ）
安倍 晋三,10月10日 ( 火 ),一関市役所前
安倍 晋三,10月10日 ( 火 ),仙台駅東口松栄不動産前
安倍 晋三,10月10日 ( 火 ),アエル前
高村 正彦,10月10日 ( 火 ),山口ﾎﾞｳﾘﾝｸﾞの森駐車場 （ 山口市泉町9-1 ）
高村 正彦,10月10日 ( 火 ),防府駅みなと口広場 （ 防府市戎町1丁目 ）
高村 正彦,10月10日 ( 火 ),周南事務所前 （ 周南市川手2-10-10 ）
二階 俊博,10月10日 ( 火 ),長岡市役所山古志支所前 （ 長岡市山古志竹沢乙461 ）
二階 俊博,10月10日 ( 火 ),和島　島崎　木村邸 （ 長岡市島崎4688-2 ）
二階 俊博,10月10日 ( 火 ),栃尾文化センター （ 長岡市中央公園1-35 ）
二階 俊博,10月10日 ( 火 ),ジオワールドビップ （ 三条市旭町2-8-57 ）
竹下 亘,10月10日 ( 火 ),大平インター付近 （ 浦添市安波茶1-32-2 ）
竹下 亘,10月10日 ( 火 ),旧よなばる食堂駐車場付近 （ 与那原町与那原513 ）
岸田 文雄,10月10日 ( 火 ),丸亀ドーム広場（高松壱番館前） （ 高松市丸亀町１－１ ）
岸田 文雄,10月10日 ( 火 ),瀬戸隆一選挙事務所 （ 坂出市白金町３－８－３５ ）
岸田 文雄,10月10日 ( 火 ),丸亀市民ひろば（丸亀城の北） （ 丸亀市大手町2-4-1 ）
岸田 文雄,10月10日 ( 火 ),香川２区自民党事務所 （ さぬき市志度１００８ ）
岸田 文雄,10月10日 ( 火 ),自民党伊予三島支部 （ 四国中央市中曽根町411-1 ）
岸田 文雄,10月10日 ( 火 ),妻鳥土地改良区事務所前 （ 四国中央市妻鳥町1121-1 ）
岸田 文雄,10月10日 ( 火 ),新居浜グランフジ前 （ 新居浜市新須賀町2-10-7 ）
岸田 文雄,10月10日 ( 火 ),新居浜裁判所前 （ 新居浜市繁本町2-1 ）
橋本 聖子,10月10日 ( 火 ),堀内　詔子選挙事務所 （ 山梨県富士吉田市中曽根 ）
森山 裕,10月15日 ( 日 ),綾上農村環境改善センター （ 綾歌郡綾川町山田下3300 ）
森山 裕,10月15日 ( 日 ),陶公民館 （ 綾歌郡綾川町陶5866-1 ）
森山 裕,10月15日 ( 日 ),高松国分寺ホール （ 高松市国分寺町新名430 ）
小泉 進次郎,10月10日 ( 火 ),池袋駅東口 （ 東京都豊島区南池袋1丁目 ）
小泉 進次郎,10月10日 ( 火 ),陣馬街道四谷交差点（デニーズ八王子四谷町店付近） （ 東京都八王子市四谷 ）
小泉 進次郎,10月10日 ( 火 ),田無駅北口三井住友銀行前 （ 東京都西東京市田無町4-27-13 ）
小泉 進次郎,10月10日 ( 火 ),大宮駅西口そごう前 （ 埼玉県さいたま市大宮区桜木町1-6-2 ）
小泉 進次郎,10月10日 ( 火 ),浦和駅東口 （ 埼玉県さいたま市浦和区高砂1-16-12 ）
小泉 進次郎,10月10日 ( 火 ),まちの駅 新・鹿沼宿前 （ 栃木県鹿沼市仲町1604-1 ）
麻生 太郎,10月12日 ( 木 ),ＪＲ宇治駅前
麻生 太郎,10月12日 ( 木 ),ＪＲ住道駅北口
麻生 太郎,10月12日 ( 木 ),ＪＲ高槻駅南口
麻生 太郎,10月12日 ( 木 ),高槻センター街
麻生 太郎,10月12日 ( 木 ),阪急高槻市駅前
野田 聖子,10月10日 ( 火 ),宝島跡地前 （ 美濃加茂市加茂川町1-5-10 ）
野田 聖子,10月10日 ( 火 ),県道19号土岐足助線沿い （ 土岐市土岐口南町3-31 ）
野田 聖子,10月10日 ( 火 ),プラント６瑞穂店駐車場 （ 瑞穂市屑川5-38 ）
野田 聖子,10月10日 ( 火 ),ミニストップ瑞穂朝日大学前店駐車場 （ 瑞穂市穂積1947 ）
河野 太郎,10月10日 ( 火 ),ビ・アーンジュＹＵＫＩＹＡ　 （ 八千代町若1725-10 ）
林 芳正,10月10日 ( 火 ),近鉄富田林駅北口ロータリー
林 芳正,10月10日 ( 火 ),太子町役場前 （ 南河内郡太子町大字山田88番地 ）
林 芳正,10月10日 ( 火 ),御堂筋道頓堀
林 芳正,10月10日 ( 火 ),なんばパークス （ 大阪市浪速区難波中2-10-70 ）
林 芳正,10月10日 ( 火 ),天王寺公園エントランスエリアてんしば （ 大阪市天王寺区茶臼山町5番55号 ）
林 芳正,10月10日 ( 火 ),阿倍野区昭和町ライフ前 （ 大阪市阿倍野区昭和町1-15-25 ）
林 芳正,10月10日 ( 火 ),平野区瓜破ライフ前 （ 大阪市平野区喜連西6-2-34 ）
林 芳正,10月10日 ( 火 ),生野区今里商店街 （ 大阪市生野区 ）
林 芳正,10月10日 ( 火 ),JR天王寺駅東口
林 芳正,10月10日 ( 火 ),阿倍野区天理教西大教会 （ 大阪市阿倍野区阪南町1-36-16 ）
加藤 勝信,10月12日 ( 木 ),近鉄古市駅前
