7月4日（木曜日）,安倍 晋三総裁,あづま果樹園 （ 福島市飯坂町平野西原1-13 ）
7月5日（金曜日）,安倍 晋三総裁,村上市役所前 （ 村上市三之町1-1 ）
7月6日（土曜日）,安倍 晋三総裁,彦根パリヤ前 （ 彦根市長曽根南町472-2 ）
7月7日（日曜日）,安倍 晋三総裁,ＪＲ船橋駅南口
7月8日（月曜日）,安倍 晋三総裁,さくら野百貨店前 （ 北上市本通り2-2-1 ）
7月9日（火曜日）,安倍 晋三総裁,高松三越前 （ 高松市内町7-1 ）
7月10日（水曜日）,安倍 晋三総裁,中通り商店街 （ 酒田市中町1 ）
7月11日（木曜日）,安倍 晋三総裁,別府公園 （ 別府市大字別府野口原3018-1 ）
7月12日（金曜日）,安倍 晋三総裁,伊勢神宮外宮前広場 （ 伊勢市豊川町279 ）
7月13日（土曜日）,安倍 晋三総裁,新町通りパサージュ広場 （ 青森市新町1-8-5 ）
7月14日（日曜日）,安倍 晋三総裁,本通り・叶や前 （ 広島市中区本通7－21 ）
7月15日（月曜日）,安倍 晋三総裁,清田区役所前 （ 札幌市清田区平岡1条1丁目2－1 ）
7月16日（火曜日）,安倍 晋三総裁,かに池公園 （ 上越市下門前1663 ）
7月17日（水曜日）,安倍 晋三総裁,山形市役所 （ 山形市旅籠町2－3－25 ）
7月18日（木曜日）,安倍 晋三総裁,近鉄四日市駅北口 スターアイランド前 （ 四日市市安島1-1-56 ）
7月19日（金曜日）,安倍 晋三総裁,さくら野百貨店弘前店前 （ 弘前市城東北3-10-1 ）
7月20日（土曜日）,安倍 晋三総裁,なかいち （ 秋田市中通1 ）
7月4日（木曜日）,二階 俊博幹事長,迎賓館アンジェリーナ （ 天童市鍬ノ町2丁目1-50 ）
7月5日（金曜日）,二階 俊博幹事長,石巻グランドホテル （ 石巻市千石町2-10 ）
7月6日（土曜日）,二階 俊博幹事長,アピオ甲府 （ 中巨摩郡昭和町西条3600 ）
7月7日（日曜日）,二階 俊博幹事長,大南公民館 （ 大分県大分市中戸次4491−2 ）
7月8日（月曜日）,二階 俊博幹事長,福山市エストパルク （ 福山市東桜町1-21 ）
7月11日（木曜日）,二階 俊博幹事長,神戸文化ホール （ 神戸市中央区楠町4-2-2 ）
7月13日（土曜日）,二階 俊博幹事長,岩本剛人選挙事務所 （ 札幌市中央区北2条西3丁目　札幌第1ビル2F ）
7月14日（日曜日）,二階 俊博幹事長,JAきたみらい （ 北見市中ノ島町1丁目1-8 ）
7月16日（火曜日）,二階 俊博幹事長,松山政司選挙事務所 （ 福岡市博多区博多駅南4-3-18ﾂﾂﾞｷ博多ﾋﾞﾙ2F ）
7月17日（水曜日）,二階 俊博幹事長,旧JAいわて平泉大原店前 （ 一関市大東町大原一六27-1 ）
7月19日（金曜日）,二階 俊博幹事長,館林文化会館 （ 館林市城町3-1 ）
7月4日（木曜日）,加藤 勝信総務会長,長野市　ホテル国際21 （ 長野市県町576 ）
7月7日（日曜日）,加藤 勝信総務会長,大同衣料（株）第１物流センター （ 美郷町郷字安楽寺297-1 ）
7月8日（月曜日）,加藤 勝信総務会長,京王プラザホテル（コンコードボールルーム） （ 新宿区西新宿2-2-1 ）
7月9日（火曜日）,加藤 勝信総務会長,櫛引生涯学習センター （ 鶴岡市上山添字文栄90 ）
7月10日（水曜日）,加藤 勝信総務会長,福生駅西口
7月12日（金曜日）,加藤 勝信総務会長,砺波市太郎丸交差点
7月14日（日曜日）,加藤 勝信総務会長,御影公会堂 （ 神戸市東灘区御影石町4-4-1 ）
7月15日（月曜日）,加藤 勝信総務会長,プラザイン水沢 （ 奥州市水沢佐倉河字後田29 ）
7月16日（火曜日）,加藤 勝信総務会長,ＪＡテラル越前本店 （ 大野市中挟1-1301 ）
7月17日（水曜日）,加藤 勝信総務会長,栄町公民館 （ 北佐久郡御代田町大字御代田2503 ）
7月18日（木曜日）,加藤 勝信総務会長,霧島市役所前
7月19日（金曜日）,加藤 勝信総務会長,浜松松菱百貨店跡地 （ 浜松市中区鍛冶町128-2付近 ）
7月20日（土曜日）,加藤 勝信総務会長,吉祥寺駅北口ロータリー
7月4日（木曜日）,岸田 文雄政務調査会長,ニューシティ跡地 （ 秋田市大町2丁目3番地 ）
7月5日（金曜日）,岸田 文雄政務調査会長,島瀬公園 （ 佐世保市島瀬町６ ）
7月6日（土曜日）,岸田 文雄政務調査会長,石和温泉駅南口
7月7日（日曜日）,岸田 文雄政務調査会長,海峡メッセ （ 下関市豊前田町3-3-1 ）
7月8日（月曜日）,岸田 文雄政務調査会長,JA小野支店 （ 田村郡小野町大字小野新町中通34 ）
7月9日（火曜日）,岸田 文雄政務調査会長,三沢市役所前 （ 三沢市桜町1-1-38 ）
7月10日（水曜日）,岸田 文雄政務調査会長,本八幡駅北口 （ 市川市八幡二丁目 ）
7月11日（木曜日）,岸田 文雄政務調査会長,元町大丸前 （ 神戸市中央区明石町40 ）
7月12日（金曜日）,岸田 文雄政務調査会長,松川レピヤン第2工場 （ 坂井市丸岡町内田15-7 ）
7月13日（土曜日）,岸田 文雄政務調査会長,松島湾海鮮市場「七のや」 （ 宮城郡七ヶ浜町花渕浜字舘下75-41 ）
7月15日（月曜日）,岸田 文雄政務調査会長,みとよ未来創造館 （ 三豊市高瀬町下勝間2347-1 ）
7月16日（火曜日）,岸田 文雄政務調査会長,茅野市民館　中庭 （ 茅野市塚原茅野町１ ）
7月17日（水曜日）,岸田 文雄政務調査会長,にのゆ武史八幡竜王事務所 （ 近江八幡市鷹飼町1510 ）
7月18日（木曜日）,岸田 文雄政務調査会長,ホテルニューオータニ （ 千代田区紀尾井町4‐1 ）
7月19日（金曜日）,岸田 文雄政務調査会長,矢留測量水原工務店前 （ 秋田市山王中園町10-46 ）
7月20日（土曜日）,岸田 文雄政務調査会長,小野幸作事務所 （ 寒河江市西根字長面156-1 ）
7月4日（木曜日）,甘利 明選挙対策委員長,津駅東口ロータリー （ 津市羽所町242 ）
7月5日（金曜日）,甘利 明選挙対策委員長,弘前市役所前 （ 弘前市大字上白銀町1-1 ）
7月6日（土曜日）,甘利 明選挙対策委員長,豊島建設前 （ 大船渡市大船渡町字地ノ森61-8 ）
7月7日（日曜日）,甘利 明選挙対策委員長,愛荘町立ハーティーセンター秦荘 （ 愛知郡愛荘町安孫子822番地 ）
